,value_daily,value_weekly,factor,value,Open,High,Low,Close,Volume
2017-08-09,37,,0.3333333333333333,12.333333333333332,8.50,8.52,8.24,8.24,9656800
2017-08-10,33,,0.3333333333333333,11.0,8.23,8.40,7.90,7.95,7169400
2017-08-11,35,,0.3333333333333333,11.666666666666666,8.08,8.47,8.04,8.4,7715200
2017-08-14,35,,0.3181818181818182,11.136363636363637,8.65,8.75,8.45,8.6,10723500
2017-08-15,47,,0.3181818181818182,14.954545454545455,8.55,8.97,8.41,8.69,11561800
2017-08-16,34,,0.3181818181818182,10.818181818181818,8.81,8.95,8.64,8.7,10327800
2017-08-17,33,,0.3181818181818182,10.5,8.72,8.74,8.28,8.34,7240600
2017-08-18,27,,0.3181818181818182,8.59090909090909,8.44,8.55,8.01,8.17,12357500
2017-08-21,32,,0.3,9.6,8.23,8.32,7.93,8.0,10383700
2017-08-22,36,,0.3,10.799999999999999,8.12,8.28,8.03,8.03,13070100
2017-08-23,38,,0.3,11.4,8.17,8.25,8.04,8.19,10090100
2017-08-24,33,,0.3,9.9,8.29,8.44,8.10,8.43,10890500
2017-08-25,37,,0.3,11.1,8.51,9.05,8.45,8.88,20309200
2017-08-28,34,,0.3333333333333333,11.333333333333332,8.93,9.38,8.93,9.1,15919600
2017-08-29,36,,0.3333333333333333,12.0,9.13,9.18,8.85,8.92,10248300
2017-08-30,37,,0.3333333333333333,12.333333333333332,8.97,9.10,8.85,8.89,5542800
2017-08-31,36,,0.3333333333333333,12.0,8.98,9.01,8.63,8.67,8954900
2017-09-01,42,,0.3333333333333333,14.0,8.75,8.80,8.55,8.64,7471900
2017-09-04,44,,0.5454545454545454,24.0,8.80,8.95,8.48,8.58,9648100
2017-09-05,98,,0.5454545454545454,53.45454545454545,7.72,8.19,7.62,7.87,37083700
2017-09-06,94,,0.5454545454545454,51.272727272727266,7.83,8.05,7.53,7.97,16166600
2017-09-08,52,,0.5454545454545454,28.36363636363636,7.94,8.45,7.93,8.19,14208600
2017-09-11,100,,0.25396825396825395,25.396825396825395,7.95,8.37,7.93,8.13,15494200
2017-09-12,74,,0.25396825396825395,18.79365079365079,8.09,8.23,8.03,8.08,10209900
2017-09-13,84,,0.25396825396825395,21.333333333333332,8.00,8.33,7.94,8.27,11659300
2017-09-14,70,,0.25396825396825395,17.77777777777778,8.22,8.77,8.22,8.59,14783000
2017-09-15,63,,0.25396825396825395,16.0,8.78,9.02,8.73,8.85,17648800
2017-09-18,75,,0.24324324324324326,18.243243243243246,8.93,8.93,8.42,8.5,22384400
2017-09-19,55,,0.24324324324324326,13.378378378378379,8.52,8.65,8.32,8.42,10045500
2017-09-20,46,,0.24324324324324326,11.18918918918919,8.47,8.52,8.25,8.33,11702100
2017-09-21,45,,0.24324324324324326,10.945945945945947,8.30,8.38,8.10,8.24,9276500
2017-09-22,38,,0.24324324324324326,9.243243243243244,8.24,8.34,8.06,8.32,8126700
2017-09-25,34,,0.2727272727272727,9.272727272727272,8.35,8.50,8.19,8.23,8910000
2017-09-26,42,,0.2727272727272727,11.454545454545453,8.32,8.40,8.24,8.38,10423500
